IMO,Ледовый класс,Скорость,Начало,Окончание,Дата и время начала,Дата и время окончания,Плановое время плавания,Число окончания,Число начала
9366110,2,16,0,12,306000.0,478800.0,172800.0,2021-01-02 12:00:00,2020-12-31 12:00:00
8711289,2,15,12,0,144000.0,505800.0,361800.0,2021-01-02 19:30:00,2020-12-29 15:00:00
9750701,3,19,13,0,349200.0,567900.0,218700.0,2021-01-03 12:45:00,2021-01-01 00:00:00
9834296,1,16,0,13,437400.0,606600.0,169200.0,2021-01-03 23:30:00,2021-01-02 00:30:00
9750696,3,19,0,13,412200.0,626400.0,214200.0,2021-01-04 05:00:00,2021-01-01 17:30:00
9834313,1,18,0,13,480600.0,651600.0,171000.0,2021-01-04 12:00:00,2021-01-02 12:30:00
9752084,3,15,0,10,433800.0,712800.0,279000.0,2021-01-05 05:00:00,2021-01-01 23:30:00
9759939,3,15,10,0,509400.0,806400.0,297000.0,2021-01-06 07:00:00,2021-01-02 20:30:00
9834313,1,18,13,0,648000.0,831600.0,183600.0,2021-01-06 14:00:00,2021-01-04 11:00:00
9194012,2,15,0,10,0.0,928800.0,928800.0,2021-01-07 17:00:00,2020-12-27 23:00:00
9267297,2,14,12,0,770400.0,990000.0,219600.0,2021-01-08 10:00:00,2021-01-05 21:00:00
9834296,1,16,13,0,835200.0,1011600.0,176400.0,2021-01-08 16:00:00,2021-01-06 15:00:00
9804033,3,14,13,0,867600.0,1177200.0,309600.0,2021-01-10 14:00:00,2021-01-07 00:00:00
9768394,3,19,0,13,1033200.0,1178100.0,144900.0,2021-01-10 14:15:00,2021-01-08 22:00:00
9752084,3,15,10,0,820800.0,1191600.0,370800.0,2021-01-10 18:00:00,2021-01-06 11:00:00
9759939,3,15,0,10,936000.0,1225200.0,289200.0,2021-01-11 03:20:00,2021-01-07 19:00:00
9750696,3,19,13,0,928800.0,1258200.0,329400.0,2021-01-11 12:30:00,2021-01-07 17:00:00
8711289,2,15,0,13,1051200.0,1463400.0,412200.0,2021-01-13 21:30:00,2021-01-09 03:00:00
9834296,1,16,0,13,1335600.0,1531800.0,196200.0,2021-01-14 16:30:00,2021-01-12 10:00:00
9834296,1,16,13,0,1456200.0,1594800.0,138600.0,2021-01-15 10:00:00,2021-01-13 19:30:00
9243801,2,14,0,12,1391400.0,1679400.0,288000.0,2021-01-16 09:30:00,2021-01-13 01:30:00
9752084,3,15,0,10,1364400.0,1724400.0,360000.0,2021-01-16 22:00:00,2021-01-12 18:00:00
9759939,3,15,10,0,1443600.0,1782000.0,338400.0,2021-01-17 14:00:00,2021-01-13 16:00:00
9837547,3,15,12,0,1551600.0,1854000.0,302400.0,2021-01-18 10:00:00,2021-01-14 22:00:00
9834313,1,18,0,13,1677600.0,1877400.0,199800.0,2021-01-18 16:30:00,2021-01-16 09:00:00
9750737,3,19,0,13,1710000.0,1886400.0,176400.0,2021-01-18 19:00:00,2021-01-16 18:00:00
9366110,2,16,12,0,1690200.0,1983600.0,293400.0,2021-01-19 22:00:00,2021-01-16 12:30:00
9014896,2,14,0,12,1656000.0,2001600.0,345600.0,2021-01-20 03:00:00,2021-01-16 03:00:00
9759939,3,15,0,10,1778400.0,2136000.0,357600.0,2021-01-21 16:20:00,2021-01-17 13:00:00
9752084,3,15,10,0,1753200.0,2151900.0,398700.0,2021-01-21 20:45:00,2021-01-17 06:00:00
8711289,2,15,13,0,1918800.0,2228400.0,309600.0,2021-01-22 18:00:00,2021-01-19 04:00:00
9834313,1,18,13,0,2023200.0,2242800.0,219600.0,2021-01-22 22:00:00,2021-01-20 09:00:00
9837547,3,15,0,12,1947600.0,2293200.0,345600.0,2021-01-23 12:00:00,2021-01-19 12:00:00
9834296,1,16,0,13,2188800.0,2403000.0,214200.0,2021-01-24 18:30:00,2021-01-22 07:00:00
9834296,1,16,13,0,2251800.0,2507400.0,255600.0,2021-01-25 23:30:00,2021-01-23 00:30:00
9759939,3,15,10,0,2190600.0,2577600.0,387000.0,2021-01-26 19:00:00,2021-01-22 07:30:00
9014896,2,14,12,0,2174400.0,2588400.0,414000.0,2021-01-26 22:00:00,2021-01-22 03:00:00
9752084,3,15,0,10,2109600.0,2588400.0,478800.0,2021-01-26 22:00:00,2021-01-21 09:00:00
9243801,2,14,12,0,2412000.0,2757600.0,345600.0,2021-01-28 21:00:00,2021-01-24 21:00:00
9267297,2,14,0,12,2372400.0,2761200.0,388800.0,2021-01-28 22:00:00,2021-01-24 10:00:00
9750737,3,19,13,0,2545200.0,2849400.0,304200.0,2021-01-29 22:30:00,2021-01-26 10:00:00
9202053,2,12,0,12,2251800.0,2930400.0,678600.0,2021-01-30 21:00:00,2021-01-23 00:30:00
9194012,2,15,10,0,2044800.0,2934000.0,889200.0,2021-01-30 22:00:00,2021-01-20 15:00:00
9804033,3,14,0,13,2588400.0,3013200.0,424800.0,2021-01-31 20:00:00,2021-01-26 22:00:00
9366110,2,16,0,12,2804400.0,3112200.0,307800.0,2021-02-01 23:30:00,2021-01-29 10:00:00
9752084,3,15,10,0,2685600.0,3182400.0,496800.0,2021-02-02 19:00:00,2021-01-28 01:00:00
9759939,3,15,0,10,2689200.0,3268800.0,579600.0,2021-02-03 19:00:00,2021-01-28 02:00:00
